Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-27T02:44:38.140Z","","","Included","gpt-5.5-low","No","0","3149","387584","826","391559","Included"
"2026-04-27T02:43:24.863Z","","","Included","gpt-5.5-low","No","0","10768","290304","857","301929","Included"
"2026-04-27T02:30:24.973Z","","","Included","gpt-5.5-low","No","0","4783","203264","1673","209720","Included"
"2026-04-27T02:19:07.534Z","","","Included","gpt-5.5-low","No","0","61432","5632","718","67782","Included"
"2026-04-27T02:08:45.146Z","","","Included","gpt-5.5-medium","No","0","65405","860160","7848","933413","Included"
"2026-04-27T02:01:45.909Z","","","Included","gpt-5.5-medium","No","0","1304","120320","313","121937","Included"
"2026-04-27T02:01:11.000Z","","","Included","gpt-5.5-medium","No","0","6410","114688","43","121141","Included"
"2026-04-27T01:58:24.271Z","","","Included","gpt-5.5-medium","No","0","10551","705024","1773","717348","Included"
"2026-04-27T01:57:03.592Z","","","Included","gpt-5.5-medium","No","0","21286","93696","59","115041","Included"
"2026-04-27T01:49:08.204Z","","","Included","gpt-5.5-medium","No","0","180424","3535872","5462","3721758","Included"
"2026-04-27T01:38:47.544Z","","","Included","gpt-5.5-medium","No","0","99450","2528768","10170","2638388","Included"
"2026-04-27T01:26:22.715Z","","","Included","composer-2-fast","No","0","21224","141376","3182","165782","Included"
"2026-04-27T01:26:22.669Z","","","Included","composer-2-fast","No","0","21339","115072","2625","139036","Included"
"2026-04-27T01:26:04.975Z","","","Included","gpt-5.5-medium","No","0","31081","341504","3162","375747","Included"
"2026-04-27T01:24:53.727Z","","","Included","gpt-5.5-low","No","0","22698","23040","177","45915","Included"
"2026-04-27T01:22:16.967Z","","","Included","gpt-5.5-low","No","0","571","45056","135","45762","Included"
"2026-04-27T01:16:20.187Z","","","Included","gpt-5.5-low","No","0","359857","5493760","12496","5866113","Included"
"2026-04-27T01:09:10.531Z","","","Included","gpt-5.5-low","No","0","244108","5002752","6642","5253502","Included"
"2026-04-27T01:06:38.412Z","","","Included","gpt-5.5-medium","No","0","80094","18944","23","99061","Included"
"2026-04-27T01:02:01.895Z","","","Included","gpt-5.5-low","No","0","198063","7680","204","205947","Included"
"2026-04-27T00:59:48.063Z","","","Included","composer-2-fast","No","0","54798","242144","4344","301286","Included"
"2026-04-27T00:59:33.505Z","","","Included","gpt-5.5-medium","No","0","90676","2367488","10155","2468319","Included"
"2026-04-27T00:41:11.812Z","","","Included","composer-2-fast","No","0","0","0","0","0","Included"
"2026-04-27T00:40:08.862Z","","","Included","composer-2-fast","No","0","8279","4000","289","12568","Included"
"2026-04-27T00:40:08.856Z","","","Included","composer-2-fast","No","0","6595","5664","302","12561","Included"
"2026-04-27T00:39:35.317Z","","","Included","gpt-5.5-medium","No","0","46717","25600","1555","73872","Included"
"2026-04-27T00:36:24.119Z","","","Included","gpt-5.5-medium","No","0","79248","204800","780","284828","Included"
"2026-04-27T00:24:54.335Z","","","Included","gpt-5.5-low","No","0","189178","419840","602","609620","Included"
"2026-04-27T00:22:50.402Z","","","Included","gpt-5.5-medium","No","0","3972","89088","420","93480","Included"
"2026-04-27T00:19:53.680Z","","","Included","gpt-5.5-medium","No","0","5322","540160","1578","547060","Included"
"2026-04-27T00:18:15.985Z","","","Included","gpt-5.5-medium","No","0","48011","40448","375","88834","Included"
"2026-04-27T00:07:32.762Z","","","Included","gpt-5.5-medium","No","0","87115","1074688","5938","1167741","Included"
"2026-04-27T00:01:45.518Z","","","Included","gpt-5.5-medium","No","0","203740","4911616","7833","5123189","Included"
"2026-04-27T00:00:05.907Z","","","Included","composer-2-fast","No","0","54777","283552","5935","344264","Included"
"2026-04-27T00:00:05.622Z","","","Included","composer-2-fast","No","0","37121","391776","4997","433894","Included"
"2026-04-26T23:59:50.387Z","","","Included","gpt-5.5-low","No","0","55088","88576","1988","145652","Included"
"2026-04-26T23:50:59.275Z","","","Included","gpt-5.5-medium","No","0","556","234496","55","235107","Included"
"2026-04-26T23:46:25.883Z","","","Included","gpt-5.5-medium","No","0","640","233984","68","234692","Included"
"2026-04-26T23:45:42.552Z","","","Included","gpt-5.5-medium","No","0","8425","225792","44","234261","Included"
"2026-04-26T23:44:26.615Z","","","Included","gpt-5.5-medium","No","0","174085","551424","1516","727025","Included"
"2026-04-26T23:42:08.600Z","","","Included","gpt-5.5-medium","No","0","23483","1598976","3577","1626036","Included"
"2026-04-26T23:22:26.013Z","","","Included","gpt-5.5-medium","No","0","36336","2839040","5627","2881003","Included"
"2026-04-26T23:14:46.620Z","","","Included","gpt-5.5-medium","No","0","57684","2466816","5454","2529954","Included"
"2026-04-26T23:08:19.978Z","","","Included","gpt-5.5-medium","No","0","41632","3286016","6227","3333875","Included"
"2026-04-26T22:53:42.990Z","","","Included","gpt-5.5-medium","No","0","15488","998912","3877","1018277","Included"
"2026-04-26T22:51:21.911Z","","","Included","gpt-5.5-medium","No","0","545","159232","43","159820","Included"
"2026-04-26T22:48:36.461Z","","","Included","gpt-5.5-medium","No","0","151774","7680","44","159498","Included"
"2026-04-26T22:27:09.269Z","","","Included","gpt-5.5-medium","No","0","188831","7458304","21766","7668901","Included"
"2026-04-26T21:55:58.034Z","","","Included","gpt-5.4-high","No","0","337444","3009664","23171","3370279","Included"
"2026-04-26T21:51:42.341Z","","","Included","gpt-5.4-high","No","0","62101","368640","1834","432575","Included"
"2026-04-26T21:29:06.170Z","","","Included","gpt-5.4-high","No","0","200197","7473536","22365","7696098","Included"
"2026-04-26T17:40:28.172Z","","","Included","gpt-5.5-medium","No","0","8359","502784","1513","512656","Included"
"2026-04-26T17:30:03.145Z","","","Included","gpt-5.5-medium","No","0","158694","7680","1376","167750","Included"
"2026-04-26T17:28:06.440Z","","","Included","gpt-5.4-high","No","0","508064","10249856","63800","10821720","Included"
"2026-04-26T17:17:53.985Z","","","Included","gpt-5.5-medium","No","0","59236","2028544","4214","2091994","Included"
